t(ticks)	;	nlug	;	id_viat	;	observ
7287	;	49	;	88	;	estacionamento
7337	;	50	;	88	;	saida
7360	;	49	;	116	;	estacionamento
7385	;	50	;	116	;	saida
7408	;	49	;	104	;	estacionamento
7453	;	50	;	104	;	saida
7476	;	49	;	107	;	estacionamento
7507	;	50	;	107	;	saida
7530	;	49	;	114	;	estacionamento
7556	;	50	;	114	;	saida
7578	;	49	;	102	;	estacionamento
7596	;	50	;	102	;	saida
7622	;	49	;	115	;	estacionamento
7638	;	50	;	115	;	saida
7660	;	49	;	103	;	estacionamento
7706	;	50	;	103	;	saida
7728	;	49	;	111	;	estacionamento
7758	;	50	;	111	;	saida
7782	;	49	;	119	;	estacionamento
7838	;	50	;	119	;	saida
7862	;	49	;	99	;	estacionamento
7922	;	50	;	99	;	saida
7950	;	49	;	97	;	estacionamento
7996	;	50	;	97	;	saida
8020	;	49	;	94	;	estacionamento
8035	;	50	;	94	;	saida
8057	;	49	;	100	;	estacionamento
8068	;	50	;	100	;	saida
8090	;	49	;	118	;	estacionamento
8161	;	50	;	118	;	saida
8188	;	49	;	109	;	estacionamento
8223	;	50	;	109	;	saida
8271	;	49	;	93	;	estacionamento
8327	;	50	;	93	;	saida
8350	;	49	;	101	;	estacionamento
8365	;	50	;	101	;	saida
8388	;	49	;	117	;	estacionamento
8397	;	50	;	117	;	saida
8420	;	49	;	89	;	estacionamento
8450	;	50	;	89	;	saida
8473	;	49	;	90	;	estacionamento
8528	;	50	;	90	;	saida
8551	;	49	;	92	;	estacionamento
8561	;	50	;	92	;	saida
8606	;	49	;	95	;	estacionamento
8637	;	50	;	95	;	saida
8661	;	49	;	113	;	estacionamento
8680	;	50	;	113	;	saida
8703	;	49	;	106	;	estacionamento
8742	;	50	;	106	;	saida
8766	;	49	;	110	;	estacionamento
8781	;	50	;	110	;	saida
8805	;	49	;	112	;	estacionamento
8829	;	50	;	112	;	saida
8851	;	49	;	105	;	estacionamento
8866	;	50	;	105	;	saida
8899	;	49	;	91	;	estacionamento
8923	;	50	;	91	;	saida
8946	;	49	;	96	;	estacionamento
9001	;	50	;	96	;	saida
9024	;	49	;	98	;	estacionamento
9043	;	50	;	98	;	saida
9081	;	49	;	108	;	estacionamento
9116	;	50	;	108	;	saida
9392	;	49	;	120	;	estacionamento
9423	;	50	;	120	;	saida
9446	;	49	;	179	;	estacionamento
9476	;	50	;	179	;	saida
9497	;	49	;	183	;	estacionamento
9516	;	50	;	183	;	saida
9537	;	49	;	161	;	estacionamento
9581	;	50	;	161	;	saida
9602	;	49	;	177	;	estacionamento
9653	;	50	;	177	;	saida
9680	;	49	;	164	;	estacionamento
9734	;	50	;	164	;	saida
9759	;	49	;	146	;	estacionamento
9784	;	50	;	146	;	saida
9806	;	49	;	126	;	estacionamento
9837	;	50	;	126	;	saida
9859	;	49	;	127	;	estacionamento
9904	;	50	;	127	;	saida
9928	;	49	;	133	;	estacionamento
9982	;	50	;	133	;	saida
10004	;	49	;	149	;	estacionamento
10030	;	50	;	149	;	saida
10052	;	49	;	160	;	estacionamento
10068	;	50	;	160	;	saida
10091	;	49	;	178	;	estacionamento
10101	;	50	;	178	;	saida
10124	;	49	;	181	;	estacionamento
10138	;	50	;	181	;	saida
10160	;	49	;	137	;	estacionamento
10190	;	50	;	137	;	saida
10213	;	49	;	139	;	estacionamento
10242	;	50	;	139	;	saida
10265	;	49	;	128	;	estacionamento
10299	;	50	;	128	;	saida
10322	;	49	;	141	;	estacionamento
10346	;	50	;	141	;	saida
10378	;	49	;	151	;	estacionamento
10388	;	50	;	151	;	saida
10411	;	49	;	152	;	estacionamento
10465	;	50	;	152	;	saida
10489	;	49	;	175	;	estacionamento
10523	;	50	;	175	;	saida
10546	;	49	;	180	;	estacionamento
10580	;	50	;	180	;	saida
10602	;	49	;	132	;	estacionamento
10657	;	50	;	132	;	saida
10679	;	49	;	147	;	estacionamento
10715	;	50	;	147	;	saida
10741	;	49	;	145	;	estacionamento
10756	;	50	;	145	;	saida
10778	;	49	;	165	;	estacionamento
10823	;	50	;	165	;	saida
10846	;	49	;	159	;	estacionamento
10895	;	50	;	159	;	saida
10917	;	49	;	171	;	estacionamento
10931	;	50	;	171	;	saida
10953	;	49	;	176	;	estacionamento
11007	;	50	;	176	;	saida
11031	;	49	;	154	;	estacionamento
11061	;	50	;	154	;	saida
11084	;	49	;	170	;	estacionamento
11103	;	50	;	170	;	saida
11125	;	49	;	173	;	estacionamento
11155	;	50	;	173	;	saida
11176	;	49	;	129	;	estacionamento
11226	;	50	;	129	;	saida
11248	;	49	;	136	;	estacionamento
11267	;	50	;	136	;	saida
11289	;	49	;	134	;	estacionamento
11338	;	50	;	134	;	saida
11361	;	49	;	158	;	estacionamento
11381	;	50	;	158	;	saida
11403	;	49	;	167	;	estacionamento
11432	;	50	;	167	;	saida
11453	;	49	;	168	;	estacionamento
11463	;	50	;	168	;	saida
11487	;	49	;	123	;	estacionamento
11511	;	50	;	123	;	saida
11533	;	49	;	135	;	estacionamento
11567	;	50	;	135	;	saida
11589	;	49	;	140	;	estacionamento
11643	;	50	;	140	;	saida
11665	;	49	;	155	;	estacionamento
11725	;	50	;	155	;	saida
11749	;	49	;	174	;	estacionamento
11773	;	50	;	174	;	saida
11795	;	49	;	138	;	estacionamento
11849	;	50	;	138	;	saida
11871	;	49	;	157	;	estacionamento
11905	;	50	;	157	;	saida
11927	;	49	;	143	;	estacionamento
11976	;	50	;	143	;	saida
12000	;	49	;	156	;	estacionamento
12054	;	50	;	156	;	saida
12076	;	49	;	172	;	estacionamento
12115	;	50	;	172	;	saida
12137	;	49	;	182	;	estacionamento
12156	;	50	;	182	;	saida
12178	;	49	;	124	;	estacionamento
12212	;	50	;	124	;	saida
12234	;	49	;	131	;	estacionamento
12247	;	50	;	131	;	saida
12269	;	49	;	142	;	estacionamento
12313	;	50	;	142	;	saida
12337	;	49	;	144	;	estacionamento
12381	;	50	;	144	;	saida
12406	;	49	;	150	;	estacionamento
12460	;	50	;	150	;	saida
12482	;	49	;	166	;	estacionamento
12500	;	50	;	166	;	saida
12523	;	49	;	169	;	estacionamento
12532	;	50	;	169	;	saida
12554	;	49	;	121	;	estacionamento
12573	;	50	;	121	;	saida
12595	;	49	;	122	;	estacionamento
12604	;	50	;	122	;	saida
12626	;	49	;	125	;	estacionamento
12668	;	50	;	125	;	saida
12690	;	49	;	130	;	estacionamento
12734	;	50	;	130	;	saida
12757	;	49	;	148	;	estacionamento
12811	;	50	;	148	;	saida
12832	;	49	;	153	;	estacionamento
12841	;	50	;	153	;	saida
12863	;	49	;	162	;	estacionamento
12886	;	50	;	162	;	saida
12908	;	49	;	163	;	estacionamento
12941	;	50	;	163	;	saida
12964	;	49	;	184	;	estacionamento
13017	;	50	;	184	;	saida
13077	;	49	;	185	;	estacionamento
13096	;	50	;	185	;	saida
13117	;	49	;	186	;	estacionamento
13150	;	50	;	186	;	saida
13179	;	49	;	187	;	estacionamento
13212	;	50	;	187	;	saida
13238	;	49	;	188	;	estacionamento
13252	;	50	;	188	;	saida
13277	;	49	;	189	;	estacionamento
13290	;	50	;	189	;	saida
13317	;	49	;	190	;	estacionamento
13370	;	50	;	190	;	saida
13396	;	49	;	1	;	estacionamento
13444	;	50	;	1	;	saida
13464	;	49	;	191	;	estacionamento
13483	;	50	;	191	;	saida
13510	;	49	;	192	;	estacionamento
13533	;	50	;	192	;	saida
13561	;	49	;	193	;	estacionamento
13569	;	50	;	193	;	saida
13595	;	49	;	194	;	estacionamento
13649	;	50	;	194	;	saida
13669	;	49	;	195	;	estacionamento
13708	;	50	;	195	;	saida
13737	;	49	;	196	;	estacionamento
13756	;	50	;	196	;	saida
13775	;	49	;	197	;	estacionamento
13828	;	50	;	197	;	saida
13861	;	49	;	198	;	estacionamento
13881	;	50	;	198	;	saida
13906	;	49	;	199	;	estacionamento
13919	;	50	;	199	;	saida
13940	;	49	;	200	;	estacionamento
13988	;	50	;	200	;	saida
14014	;	49	;	201	;	estacionamento
14047	;	50	;	201	;	saida
14074	;	49	;	202	;	estacionamento
14107	;	50	;	202	;	saida
14132	;	49	;	203	;	estacionamento
14160	;	50	;	203	;	saida
14180	;	49	;	204	;	estacionamento
14193	;	50	;	204	;	saida
14221	;	49	;	205	;	estacionamento
14269	;	50	;	205	;	saida
14294	;	49	;	206	;	estacionamento
14312	;	50	;	206	;	saida
14337	;	49	;	207	;	estacionamento
14385	;	50	;	207	;	saida
14416	;	49	;	208	;	estacionamento
14464	;	50	;	208	;	saida
14484	;	49	;	209	;	estacionamento
14502	;	50	;	209	;	saida
14539	;	49	;	210	;	estacionamento
14587	;	50	;	210	;	saida
14618	;	49	;	211	;	estacionamento
14661	;	50	;	211	;	saida
14687	;	49	;	212	;	estacionamento
14726	;	50	;	212	;	saida
14751	;	49	;	213	;	estacionamento
14799	;	50	;	213	;	saida
14824	;	49	;	214	;	estacionamento
14853	;	50	;	214	;	saida
14873	;	49	;	215	;	estacionamento
14917	;	50	;	215	;	saida
14941	;	49	;	216	;	estacionamento
14994	;	50	;	216	;	saida
15018	;	49	;	217	;	estacionamento
15052	;	50	;	217	;	saida
15088	;	49	;	218	;	estacionamento
15101	;	50	;	218	;	saida
15126	;	49	;	219	;	estacionamento
15145	;	50	;	219	;	saida
15164	;	49	;	220	;	estacionamento
15207	;	50	;	220	;	saida
15235	;	49	;	221	;	estacionamento
15283	;	50	;	221	;	saida
15308	;	49	;	222	;	estacionamento
15354	;	50	;	222	;	saida
15389	;	49	;	223	;	estacionamento
15418	;	50	;	223	;	saida
15443	;	49	;	224	;	estacionamento
15494	;	50	;	224	;	saida
15517	;	49	;	225	;	estacionamento
15535	;	50	;	225	;	saida
15571	;	49	;	226	;	estacionamento
15600	;	50	;	226	;	saida
15620	;	49	;	227	;	estacionamento
15638	;	50	;	227	;	saida
15672	;	49	;	228	;	estacionamento
15725	;	50	;	228	;	saida
15750	;	49	;	229	;	estacionamento
15803	;	50	;	229	;	saida
15829	;	49	;	230	;	estacionamento
15848	;	50	;	230	;	saida
15878	;	49	;	231	;	estacionamento
15917	;	50	;	231	;	saida
15942	;	49	;	232	;	estacionamento
15990	;	50	;	232	;	saida
16016	;	49	;	233	;	estacionamento
16044	;	50	;	233	;	saida
16072	;	49	;	234	;	estacionamento
16126	;	50	;	234	;	saida
16151	;	49	;	235	;	estacionamento
16179	;	50	;	235	;	saida
16199	;	49	;	236	;	estacionamento
16212	;	50	;	236	;	saida
16243	;	49	;	237	;	estacionamento
16266	;	50	;	237	;	saida
16286	;	49	;	238	;	estacionamento
16324	;	50	;	238	;	saida
16350	;	49	;	239	;	estacionamento
16363	;	50	;	239	;	saida
16394	;	49	;	240	;	estacionamento
16408	;	50	;	240	;	saida
16433	;	49	;	241	;	estacionamento
16472	;	50	;	241	;	saida
16502	;	49	;	242	;	estacionamento
16526	;	50	;	242	;	saida
16552	;	49	;	243	;	estacionamento
16565	;	50	;	243	;	saida
16586	;	49	;	244	;	estacionamento
16594	;	50	;	244	;	saida
16614	;	49	;	245	;	estacionamento
16627	;	50	;	245	;	saida
16656	;	49	;	246	;	estacionamento
16689	;	50	;	246	;	saida
16709	;	49	;	247	;	estacionamento
16718	;	50	;	247	;	saida
16742	;	49	;	248	;	estacionamento
16765	;	50	;	248	;	saida
16790	;	49	;	249	;	estacionamento
16839	;	50	;	249	;	saida
16863	;	49	;	250	;	estacionamento
16882	;	50	;	250	;	saida
16906	;	49	;	251	;	estacionamento
16955	;	50	;	251	;	saida
16979	;	49	;	252	;	estacionamento
17018	;	50	;	252	;	saida
17065	;	49	;	253	;	estacionamento
17098	;	50	;	253	;	saida
17123	;	49	;	254	;	estacionamento
17137	;	50	;	254	;	saida
17166	;	49	;	255	;	estacionamento
17174	;	50	;	255	;	saida
17193	;	49	;	256	;	estacionamento
17236	;	50	;	256	;	saida
17255	;	49	;	257	;	estacionamento
17289	;	50	;	257	;	saida
17319	;	49	;	258	;	estacionamento
17327	;	50	;	258	;	saida
17358	;	49	;	259	;	estacionamento
17382	;	50	;	259	;	saida
17401	;	49	;	260	;	estacionamento
17430	;	50	;	260	;	saida
17454	;	49	;	261	;	estacionamento
17497	;	50	;	261	;	saida
17524	;	49	;	262	;	estacionamento
17578	;	50	;	262	;	saida
17603	;	49	;	263	;	estacionamento
17652	;	50	;	263	;	saida
17676	;	49	;	264	;	estacionamento
17695	;	50	;	264	;	saida
17714	;	49	;	265	;	estacionamento
17722	;	50	;	265	;	saida
17746	;	49	;	266	;	estacionamento
17795	;	50	;	266	;	saida
17814	;	49	;	267	;	estacionamento
17867	;	50	;	267	;	saida
17894	;	49	;	0	;	estacionamento
17917	;	50	;	0	;	saida
17936	;	49	;	268	;	estacionamento
17974	;	50	;	268	;	saida
18002	;	49	;	269	;	estacionamento
18045	;	50	;	269	;	saida
18076	;	49	;	270	;	estacionamento
18109	;	50	;	270	;	saida
18139	;	49	;	271	;	estacionamento
18192	;	50	;	271	;	saida
18217	;	49	;	272	;	estacionamento
18270	;	50	;	272	;	saida
18295	;	49	;	273	;	estacionamento
18328	;	50	;	273	;	saida
18352	;	49	;	274	;	estacionamento
18365	;	50	;	274	;	saida
18385	;	49	;	275	;	estacionamento
18428	;	50	;	275	;	saida
18452	;	49	;	276	;	estacionamento
18480	;	50	;	276	;	saida
18499	;	49	;	277	;	estacionamento
18525	;	50	;	277	;	saida
18551	;	49	;	278	;	estacionamento
18569	;	50	;	278	;	saida
18593	;	49	;	279	;	estacionamento
18646	;	50	;	279	;	saida
18676	;	49	;	280	;	estacionamento
18729	;	50	;	280	;	saida
18748	;	49	;	281	;	estacionamento
18801	;	50	;	281	;	saida
18825	;	49	;	282	;	estacionamento
18868	;	50	;	282	;	saida
18897	;	49	;	283	;	estacionamento
18906	;	50	;	283	;	saida
18930	;	49	;	284	;	estacionamento
18963	;	50	;	284	;	saida
18983	;	49	;	285	;	estacionamento
19019	;	50	;	285	;	saida
19048	;	49	;	286	;	estacionamento
19086	;	50	;	286	;	saida
19111	;	49	;	287	;	estacionamento
19159	;	50	;	287	;	saida
19178	;	49	;	288	;	estacionamento
19196	;	50	;	288	;	saida
19222	;	49	;	289	;	estacionamento
19250	;	50	;	289	;	saida
19275	;	49	;	290	;	estacionamento
19293	;	50	;	290	;	saida
19313	;	49	;	291	;	estacionamento
19321	;	50	;	291	;	saida
19353	;	49	;	292	;	estacionamento
19396	;	50	;	292	;	saida
19420	;	49	;	293	;	estacionamento
19443	;	50	;	293	;	saida
19462	;	49	;	294	;	estacionamento
19510	;	50	;	294	;	saida
19541	;	49	;	295	;	estacionamento
19575	;	50	;	295	;	saida
19600	;	49	;	296	;	estacionamento
19628	;	50	;	296	;	saida
19647	;	49	;	297	;	estacionamento
19700	;	50	;	297	;	saida
19725	;	49	;	298	;	estacionamento
19763	;	50	;	298	;	saida
19793	;	49	;	299	;	estacionamento
19811	;	50	;	299	;	saida
19830	;	49	;	300	;	estacionamento
19878	;	50	;	300	;	saida
19909	;	49	;	301	;	estacionamento
19951	;	50	;	301	;	saida
19976	;	49	;	302	;	estacionamento
20009	;	50	;	302	;	saida
20044	;	49	;	303	;	estacionamento
20083	;	50	;	303	;	saida
20108	;	49	;	304	;	estacionamento
20122	;	50	;	304	;	saida
20140	;	49	;	305	;	estacionamento
20193	;	50	;	305	;	saida
20217	;	49	;	306	;	estacionamento
20225	;	50	;	306	;	saida
20256	;	49	;	307	;	estacionamento
20265	;	50	;	307	;	saida
20289	;	49	;	308	;	estacionamento
20302	;	50	;	308	;	saida
20321	;	49	;	309	;	estacionamento
20369	;	50	;	309	;	saida
20399	;	49	;	310	;	estacionamento
20417	;	50	;	310	;	saida
20436	;	49	;	311	;	estacionamento
20463	;	50	;	311	;	saida
20496	;	49	;	312	;	estacionamento
20545	;	50	;	312	;	saida
20568	;	49	;	313	;	estacionamento
20622	;	50	;	313	;	saida
20651	;	49	;	314	;	estacionamento
20694	;	50	;	314	;	saida
20713	;	49	;	315	;	estacionamento
20721	;	50	;	315	;	saida
20745	;	49	;	316	;	estacionamento
20768	;	50	;	316	;	saida
20792	;	49	;	317	;	estacionamento
20810	;	50	;	317	;	saida
20834	;	49	;	318	;	estacionamento
20872	;	50	;	318	;	saida
20897	;	49	;	319	;	estacionamento
20909	;	50	;	319	;	saida
20939	;	49	;	320	;	estacionamento
20991	;	50	;	320	;	saida
21029	;	49	;	321	;	estacionamento
21063	;	50	;	321	;	saida
21082	;	49	;	322	;	estacionamento
21125	;	50	;	322	;	saida
21149	;	49	;	323	;	estacionamento
21197	;	50	;	323	;	saida
21221	;	49	;	324	;	estacionamento
21229	;	50	;	324	;	saida
21254	;	49	;	325	;	estacionamento
21266	;	50	;	325	;	saida
21293	;	49	;	326	;	estacionamento
21342	;	50	;	326	;	saida
21366	;	49	;	327	;	estacionamento
21399	;	50	;	327	;	saida
21429	;	49	;	328	;	estacionamento
21463	;	50	;	328	;	saida
21486	;	49	;	329	;	estacionamento
21500	;	50	;	329	;	saida
21525	;	49	;	330	;	estacionamento
21558	;	50	;	330	;	saida
21583	;	49	;	331	;	estacionamento
21597	;	50	;	331	;	saida
21621	;	49	;	332	;	estacionamento
21640	;	50	;	332	;	saida
21659	;	49	;	333	;	estacionamento
21702	;	50	;	333	;	saida
21731	;	49	;	334	;	estacionamento
21749	;	50	;	334	;	saida
21768	;	49	;	335	;	estacionamento
21776	;	50	;	335	;	saida
21800	;	49	;	336	;	estacionamento
21833	;	50	;	336	;	saida
21857	;	49	;	337	;	estacionamento
21885	;	50	;	337	;	saida
21904	;	49	;	338	;	estacionamento
21917	;	50	;	338	;	saida
21953	;	49	;	339	;	estacionamento
22005	;	50	;	339	;	saida
22037	;	49	;	340	;	estacionamento
22060	;	50	;	340	;	saida
22085	;	49	;	341	;	estacionamento
22103	;	50	;	341	;	saida
22126	;	49	;	342	;	estacionamento
22164	;	50	;	342	;	saida
22187	;	49	;	343	;	estacionamento
22199	;	50	;	343	;	saida
22222	;	49	;	344	;	estacionamento
22249	;	50	;	344	;	saida
22272	;	49	;	345	;	estacionamento
22324	;	50	;	345	;	saida
22346	;	49	;	346	;	estacionamento
22374	;	50	;	346	;	saida
22396	;	49	;	347	;	estacionamento
22429	;	50	;	347	;	saida
22451	;	49	;	348	;	estacionamento
22474	;	50	;	348	;	saida
22496	;	49	;	349	;	estacionamento
22539	;	50	;	349	;	saida
22561	;	49	;	350	;	estacionamento
22569	;	50	;	350	;	saida
22591	;	49	;	351	;	estacionamento
22609	;	50	;	351	;	saida
22632	;	49	;	352	;	estacionamento
22640	;	50	;	352	;	saida
22663	;	49	;	353	;	estacionamento
22670	;	50	;	353	;	saida
22692	;	49	;	354	;	estacionamento
22725	;	50	;	354	;	saida
22753	;	49	;	355	;	estacionamento
22771	;	50	;	355	;	saida
22794	;	49	;	356	;	estacionamento
22821	;	50	;	356	;	saida
22843	;	49	;	357	;	estacionamento
22855	;	50	;	357	;	saida
22877	;	49	;	358	;	estacionamento
22894	;	50	;	358	;	saida
22916	;	49	;	359	;	estacionamento
22933	;	50	;	359	;	saida
22955	;	49	;	360	;	estacionamento
22972	;	50	;	360	;	saida
22993	;	49	;	361	;	estacionamento
23001	;	50	;	361	;	saida
23023	;	49	;	362	;	estacionamento
23065	;	50	;	362	;	saida
23087	;	49	;	363	;	estacionamento
23119	;	50	;	363	;	saida
23141	;	49	;	364	;	estacionamento
23173	;	50	;	364	;	saida
23195	;	49	;	365	;	estacionamento
23238	;	50	;	365	;	saida
23260	;	49	;	366	;	estacionamento
23292	;	50	;	366	;	saida
23315	;	49	;	367	;	estacionamento
23338	;	50	;	367	;	saida
23360	;	49	;	368	;	estacionamento
23402	;	50	;	368	;	saida
23424	;	49	;	369	;	estacionamento
23461	;	50	;	369	;	saida
23482	;	49	;	370	;	estacionamento
23505	;	50	;	370	;	saida
23526	;	49	;	371	;	estacionamento
23534	;	50	;	371	;	saida
23555	;	49	;	372	;	estacionamento
23568	;	50	;	372	;	saida
23590	;	49	;	373	;	estacionamento
23622	;	50	;	373	;	saida
23643	;	49	;	374	;	estacionamento
23655	;	50	;	374	;	saida
23676	;	49	;	375	;	estacionamento
23714	;	50	;	375	;	saida
23735	;	49	;	376	;	estacionamento
23787	;	50	;	376	;	saida
23808	;	49	;	377	;	estacionamento
23855	;	50	;	377	;	saida
23880	;	49	;	378	;	estacionamento
23917	;	50	;	378	;	saida
23939	;	49	;	379	;	estacionamento
23976	;	50	;	379	;	saida
23998	;	49	;	380	;	estacionamento
24040	;	50	;	380	;	saida
24061	;	49	;	381	;	estacionamento
24078	;	50	;	381	;	saida
24103	;	49	;	382	;	estacionamento
24110	;	50	;	382	;	saida
24132	;	49	;	383	;	estacionamento
24164	;	50	;	383	;	saida
24206	;	49	;	384	;	estacionamento
24258	;	50	;	384	;	saida
24279	;	49	;	385	;	estacionamento
24326	;	50	;	385	;	saida
24347	;	49	;	386	;	estacionamento
24364	;	50	;	386	;	saida
25154	;	49	;	454	;	estacionamento
25183	;	50	;	454	;	saida
25220	;	49	;	442	;	estacionamento
25295	;	50	;	442	;	saida
25320	;	49	;	445	;	estacionamento
25374	;	50	;	445	;	saida
25394	;	49	;	452	;	estacionamento
25443	;	50	;	452	;	saida
25466	;	49	;	422	;	estacionamento
25499	;	50	;	422	;	saida
25528	;	49	;	440	;	estacionamento
25547	;	50	;	440	;	saida
25569	;	49	;	453	;	estacionamento
25622	;	50	;	453	;	saida
25644	;	49	;	441	;	estacionamento
25688	;	50	;	441	;	saida
25710	;	49	;	449	;	estacionamento
25733	;	50	;	449	;	saida
25757	;	49	;	457	;	estacionamento
25784	;	50	;	457	;	saida
25806	;	49	;	437	;	estacionamento
25860	;	50	;	437	;	saida
25881	;	49	;	435	;	estacionamento
